Date,Team,Versus,Opponent,Score,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,+/-,Year
Wed1/6,OKC,vs,NOH,L92-97,34,5,16,31.3,0,1,0.0,1,1,100.0,2,2,4,9,3,0,2,3,11,-5,2010.0
Mon1/4,OKC,@,CHI,W98-85,45,13,24,54.2,0,1,0.0,3,5,60.0,3,4,7,6,2,0,4,2,29,+14,2010.0
Sat1/2,OKC,@,MIL,L97-103,42,6,16,37.5,0,1,0.0,5,8,62.5,3,6,9,13,1,2,0,3,17,-9,2010.0
Average,,,,,35.2,6.1,14.2,42.7,0.0,0.4,0.0,3.8,5.1,75.0,1.5,3.1,4.6,7.9,1.1,0.2,3.5,2.6,15.9,3.5,2010.0
Thu12/31,OKC,vs,UTA,W87-86,33,3,12,25.0,0,1,0.0,2,6,33.3,1,3,4,10,2,1,4,3,8,0,2010.0
Tue12/29,OKC,@,WAS,W110-98,37,5,14,35.7,1,2,50.0,0,0,,3,4,7,10,1,1,2,0,11,+4,2010.0
Mon12/28,OKC,@,NJN,W105-89,37,4,12,33.3,0,2,0.0,8,10,80.0,0,2,2,10,2,0,2,1,16,+13,2010.0
Sat12/26,OKC,vs,CHA,W98-91,35,10,18,55.6,0,1,0.0,2,2,100.0,2,3,5,6,1,0,0,2,22,+2,2010.0
Wed12/23,OKC,@,PHX,W117-113,35,8,17,47.1,0,0,,3,4,75.0,2,6,8,7,2,0,5,2,19,0,2010.0
Tue12/22,OKC,@,LAL,L108-111,42,9,21,42.9,0,3,0.0,3,4,75.0,4,3,7,13,1,0,2,4,21,-7,2010.0
Sat12/19,OKC,@,HOU,L90-95,41,4,14,28.6,0,2,0.0,7,10,70.0,2,4,6,7,1,0,2,3,15,-4,2010.0
Fri12/18,OKC,vs,DET,W109-98,30,2,7,28.6,1,1,100.0,9,12,75.0,1,2,3,5,0,0,0,1,14,+5,2010.0
Wed12/16,OKC,vs,DAL,L86-100,33,6,19,31.6,1,3,33.3,3,4,75.0,3,3,6,5,1,1,1,4,16,-17,2010.0
Mon12/14,OKC,@,DEN,L93-102,38,5,15,33.3,0,2,0.0,4,5,80.0,3,3,6,6,0,0,4,4,14,-11,2010.0
Sun12/13,OKC,vs,CLE,L89-102,34,4,15,26.7,0,3,0.0,2,2,100.0,0,3,3,5,0,0,2,4,10,-4,2010.0
Fri12/11,OKC,@,MEM,W102-94,36,9,16,56.3,2,5,40.0,3,5,60.0,1,5,6,7,1,1,3,1,23,+3,2010.0
Mon12/7,OKC,vs,GSW,W104-88,38,4,17,23.5,1,3,33.3,3,4,75.0,2,5,7,3,1,0,4,2,12,+10,2010.0
Fri12/4,OKC,vs,BOS,L87-105,27,6,16,37.5,1,3,33.3,2,4,50.0,1,2,3,4,0,0,5,3,15,-13,2010.0
Wed12/2,OKC,vs,PHI,W117-106,34,1,11,9.1,0,3,0.0,5,6,83.3,2,3,5,15,2,0,2,3,7,+15,2010.0
Average,,,,,35.3,5.3,14.9,35.7,0.5,2.3,20.6,3.7,5.2,71.8,1.8,3.4,5.2,7.5,1.0,0.3,2.5,2.5,14.9,-0.3,2010.0
Sun11/29,OKC,vs,HOU,L91-100,40,8,16,50.0,0,2,0.0,4,5,80.0,1,1,2,5,1,2,4,1,20,-4,2010.0
Fri11/27,OKC,vs,MIL,W108-90,36,6,15,40.0,1,3,33.3,7,8,87.5,0,6,6,7,0,2,2,1,20,+30,2010.0
Tue11/24,OKC,@,UTA,W104-94,33,4,10,40.0,1,2,50.0,8,10,80.0,2,1,3,3,0,0,5,2,17,+5,2010.0
Sun11/22,OKC,@,LAL,L85-101,42,5,16,31.3,0,3,0.0,4,6,66.7,1,6,7,7,0,3,6,3,14,-11,2010.0
Fri11/20,OKC,vs,WAS,W127-108,34,6,12,50.0,3,6,50.0,11,12,91.7,2,2,4,7,2,0,6,2,26,+19,2010.0
Wed11/18,OKC,@,ORL,L94-108,27,3,11,27.3,0,2,0.0,4,4,100.0,1,1,2,3,3,0,2,2,10,-17,2010.0
Tue11/17,OKC,@,MIA,W100-87,33,9,13,69.2,2,3,66.7,4,4,100.0,0,1,1,7,1,1,2,3,24,+4,2010.0
Sun11/15,OKC,vs,LAC,L93-101,37,5,17,29.4,1,4,25.0,6,6,100.0,2,7,9,7,2,0,3,1,17,-3,2010.0
Sat11/14,OKC,@,SAS,W101-98,35,7,13,53.8,1,1,100.0,4,6,66.7,1,4,5,11,0,0,0,4,19,0,2010.0
Wed11/11,OKC,@,LAC,W83-79,22,1,11,9.1,0,0,,0,0,,1,1,2,3,0,0,2,3,2,-8,2010.0
Tue11/10,OKC,@,SAC,L98-101,37,3,13,23.1,1,2,50.0,2,4,50.0,1,4,5,6,2,0,1,3,9,+5,2010.0
Sun11/8,OKC,vs,ORL,W102-74,35,5,12,41.7,3,4,75.0,4,4,100.0,2,3,5,10,0,0,5,4,17,+41,2010.0
Fri11/6,OKC,@,HOU,L94-105,41,14,25,56.0,1,3,33.3,4,4,100.0,3,2,5,7,1,0,4,2,33,-9,2010.0
