Opponent,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Team score,Opponent score,date,Season,Lose,Win,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,HOU,LAC,LAL,OKC,WAS,Playoff,Regular
MIL,26.0,4.0,12.0,33.3,1.0,1.0,100.0,4.0,4.0,100.0,3.0,4.0,7.0,6.0,0.0,0.0,1.0,1.0,13.0,-12.0,2009,98,115,2009-04-11,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
POR,39.0,4.0,16.0,25.0,1.0,4.0,25.0,6.0,8.0,75.0,1.0,2.0,3.0,7.0,3.0,0.0,2.0,1.0,15.0,-24.0,2009,83,113,2009-04-13,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
LAC,30.0,5.0,11.0,45.5,0.0,2.0,0.0,4.0,4.0,100.0,2.0,3.0,5.0,7.0,0.0,0.0,2.0,2.0,14.0,23.0,2009,126,85,2009-04-15,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
SAC,35.0,7.0,12.0,58.3,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,13.0,0.0,0.0,2.0,2.0,14.0,23.0,2009,102,89,2009-10-28,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
DET,34.0,2.0,11.0,18.2,0.0,2.0,0.0,6.0,8.0,75.0,1.0,4.0,5.0,10.0,1.0,2.0,5.0,3.0,10.0,2.0,2009,91,83,2009-10-30,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
POR,32.0,8.0,12.0,66.7,0.0,1.0,0.0,7.0,10.0,70.0,2.0,2.0,4.0,2.0,2.0,1.0,9.0,6.0,23.0,-13.0,2009,74,83,2009-11-01,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
LAL,34.0,5.0,12.0,41.7,0.0,3.0,0.0,2.0,3.0,66.7,1.0,5.0,6.0,7.0,2.0,0.0,6.0,3.0,12.0,-9.0,2009,98,101,2009-11-03,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
HOU,41.0,14.0,25.0,56.0,1.0,3.0,33.3,4.0,4.0,100.0,3.0,2.0,5.0,7.0,1.0,0.0,4.0,2.0,33.0,-9.0,2009,94,105,2009-11-06,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
ORL,35.0,5.0,12.0,41.7,3.0,4.0,75.0,4.0,4.0,100.0,2.0,3.0,5.0,10.0,0.0,0.0,5.0,4.0,17.0,41.0,2009,102,74,2009-11-08,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
SAC,37.0,3.0,13.0,23.1,1.0,2.0,50.0,2.0,4.0,50.0,1.0,4.0,5.0,6.0,2.0,0.0,1.0,3.0,9.0,5.0,2009,98,101,2009-11-10,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
